cluster,names,scores,logfoldchanges,pvals,pvals_adj
0,IL32,44.056614,3.128829,0.0,0.0
0,IL7R,43.844093,3.2357945,0.0,0.0
0,TRAC,43.22018,2.7969766,0.0,0.0
0,LDHB,41.93066,1.9434923,0.0,0.0
0,LTB,39.36965,2.3857012,0.0,0.0
0,CD3D,38.91613,2.4660459,0.0,0.0
0,CD2,36.765984,2.4287112,6.457958514803344e-296,1.8721621734414895e-292
0,CD3G,36.21613,2.2748237,3.3935337017879444e-287,8.608122426297845e-284
0,TPT1,35.956074,0.56254333,4.067551814921459e-283,9.171425442244574e-280
0,RPS29,35.64185,1.1276366,3.1514038910038397e-278,5.813767196376447e-275
0,CD3E,35.24346,2.13693,4.32100010454782e-272,7.30717126013241e-269
0,RPS18,34.14233,0.930226,1.7378017919675392e-255,2.712708597261329e-252
0,RPL36,34.122074,0.82255805,3.471814657931502e-255,5.032395346671712e-252
0,EEF1A1,34.10212,0.5994767,6.861396182681888e-255,9.282554182344238e-252
0,RPS15A,33.42613,0.7246701,5.721738075650724e-245,6.4506239316211186e-242
0,RPL14,33.32234,0.7171398,1.8334162732473755e-243,1.8602758216504494e-240
0,RPS3,33.16438,0.9093989,3.514419921489688e-241,3.396101117466202e-238
0,B2M,32.78326,0.43868178,1.019968345627867e-235,8.99922505992448e-233
0,RPL41,32.55858,0.6501352,1.5832023162780764e-232,1.338663525176292e-229
0,RPS25,32.484753,0.859966,1.7507729523512354e-231,1.3664782893101394e-228
0,RPL23A,31.890448,0.8547542,3.622193427151556e-223,2.5346610764547075e-220
0,RPS12,31.579159,0.8357155,7.136536908649817e-219,4.5256794839759605e-216
0,RPL13A,31.47553,0.76618993,1.8784591506980237e-217,1.1551385316701513e-214
0,RPSA,31.467098,1.0926216,2.450073161511943e-217,1.4623333725459372e-214
0,AQP3,31.051867,2.6873567,1.0765671486567034e-211,6.241936327911566e-209
1,RPL30,50.98713,1.0495747,0.0,0.0
1,RPS3A,49.69066,1.0039309,0.0,0.0
1,RPL32,49.266018,1.0795181,0.0,0.0
1,RPS12,48.922894,1.2352703,0.0,0.0
1,RPS14,48.845932,1.0551761,0.0,0.0
1,RPS15A,48.26424,1.0266757,0.0,0.0
1,RPS27,47.691814,1.2627852,0.0,0.0
1,RPL11,47.653816,0.9155218,0.0,0.0
1,RPL9,47.5799,0.9880431,0.0,0.0
1,RPL35A,47.180702,0.954093,0.0,0.0
1,TPT1,47.05168,0.760496,0.0,0.0
1,RPS27A,46.986126,1.0357482,0.0,0.0
1,RPS6,46.49711,1.1791604,0.0,0.0
1,RPS25,46.38027,1.1714724,0.0,0.0
1,RPS16,46.28732,1.0869476,0.0,0.0
1,RPS28,46.23893,0.93337506,0.0,0.0
1,RPL34,45.810787,0.9184044,0.0,0.0
1,RPL13,45.732906,0.998361,0.0,0.0
1,RPL21,45.67993,0.9416554,0.0,0.0
1,RPS29,45.562878,1.3363789,0.0,0.0
1,RPL22,44.859623,0.9826223,0.0,0.0
1,RPL19,44.767338,0.9842032,0.0,0.0
1,RPL37,44.522232,0.94493246,0.0,0.0
1,RPS13,44.318348,0.7947449,0.0,0.0
1,RPS3,44.02373,1.1383982,0.0,0.0
2,HLA-DPB1,20.982899,4.444684,9.39869993044208e-98,1.9072781768846113e-93
