cluster,names,scores,logfoldchanges,pvals,pvals_adj
0,LDHB,69.40235,2.408409,0.0,0.0
0,RPS12,64.084465,1.0608011,0.0,0.0
0,RPS25,62.92025,1.0837015,0.0,0.0
0,RPS15A,62.873913,0.88980025,0.0,0.0
0,CD3D,61.114693,2.9695785,0.0,0.0
0,RPS14,60.839,0.855888,0.0,0.0
0,IL7R,59.304817,3.266451,0.0,0.0
0,RPL32,59.11121,0.8796265,0.0,0.0
0,RPS27A,58.76885,0.95759374,0.0,0.0
0,RPS18,58.730606,1.0416327,0.0,0.0
0,RPS3,58.52462,1.0717068,0.0,0.0
0,RPS27,58.17789,1.1024112,0.0,0.0
0,RPL13,57.5764,0.89057004,0.0,0.0
0,RPL11,57.12998,0.7776056,0.0,0.0
0,RPL36,57.043533,0.942936,0.0,0.0
0,RPL9,56.91125,0.82451755,0.0,0.0
0,RPL35A,56.30408,0.75118774,0.0,0.0
0,RPS16,56.250065,0.8933203,0.0,0.0
0,CD3E,56.21894,2.5987515,0.0,0.0
0,RPS6,55.742397,1.0608615,0.0,0.0
0,RPS3A,55.19672,0.80738777,0.0,0.0
0,RPL30,54.727886,0.8185962,0.0,0.0
0,RPL3,54.446384,1.0323383,0.0,0.0
0,RPLP2,54.034668,0.8156806,0.0,0.0
0,LTB,53.949932,2.4229555,0.0,0.0
1,CD74,24.42287,2.8787894,9.775987641125013e-132,7.64646646357363e-128
1,HLA-DPB1,24.421871,3.1756048,1.001829867484262e-131,7.64646646357363e-128
1,HLA-DQB1,24.360811,3.1742716,4.453226303959158e-131,2.265949984331218e-127
1,HLA-DQA1,24.214466,3.2610672,1.566534017378049e-129,5.97828544381898e-126
1,HLA-DRA,24.126215,3.4021413,1.327070255918934e-128,4.0515454913205054e-125
1,HLA-DPA1,24.018381,3.189686,1.787166899950772e-127,4.546850454624756e-124
1,HLA-DRB1,23.940159,3.0832787,1.1700236749474142e-126,2.5514873425817538e-123
1,HLA-DQA2,23.26536,2.9841366,9.945450739761586e-120,1.8977163192807577e-116
1,HLA-DMA,22.13477,2.4043322,1.4626096606850628e-108,2.480748496706387e-105
1,HLA-DRB5,21.507317,2.5423782,1.3297969826509125e-102,2.029935094016618e-99
1,HLA-DMB,21.00987,2.2680194,5.328000652819688e-98,7.393811815026595e-95
1,CIITA,19.997684,2.4796116,5.768841425002871e-89,7.338447029389069e-86
1,FCER1A,16.86352,5.5117116,8.346588676948475e-64,9.800821242586037e-61
1,CCDC88A,16.534771,2.0398526,2.06158501390579e-61,2.2478639455194206e-58
1,GSN,16.467882,2.5012155,6.24166940816333e-61,6.351938901040883e-58
1,BCL11A,16.138517,1.7522309,1.3678965927897731e-58,1.305058843058493e-55
1,CTSZ,15.911257,1.7151383,5.293986388874536e-57,4.7536883662452816e-54
1,H2AFY,15.87442,1.4572676,9.528733095411182e-57,7.655584773760615e-54
1,RPS11,15.833859,0.59162414,1.8172425730318968e-56,1.3870103938665953e-53
1,PLD4,15.313739,2.7613444,6.190103224443236e-53,4.49961551052981e-50
1,MEF2C,15.291089,1.4915788,8.767116581323313e-53,6.083183391540926e-50
1,BASP1,15.1648445,2.2868931,6.04414536094072e-52,4.011472997163482e-49
1,SPINT2,15.039647,1.5443193,4.03698020203264e-51,2.567687616001177e-48
1,PHACTR1,14.98805,2.1287966,8.789521516349535e-51,5.366881837883026e-48
1,ADAM28,14.845513,2.0897853,7.438356567778474e-50,4.367173577197631e-47
2,LYZ,83.54802,6.1151853,0.0,0.0
2,S100A8,83.11693,7.0801873,0.0,0.0
2,S100A9,83.062874,7.0094166,0.0,0.0
2,FCN1,80.88262,5.455437,0.0,0.0
2,S100A6,79.59146,2.9502544,0.0,0.0
2,CTSS,79.47581,4.2627826,0.0,0.0
2,FTL,76.86803,2.802083,0.0,0.0
2,CD14,76.284515,5.552061,0.0,0.0
2,MS4A6A,75.60497,5.0374703,0.0,0.0
2,FOS,75.58243,2.6813147,0.0,0.0
2,TYROBP,75.50986,4.400609,0.0,0.0
2,MNDA,74.73979,5.1713386,0.0,0.0
2,GRN,74.12207,4.055576,0.0,0.0
2,VCAN,73.83701,5.636267,0.0,0.0
2,CST3,73.77303,4.7855315,0.0,0.0
2,FTH1,73.38152,2.3024712,0.0,0.0
2,TYMP,73.37017,3.8744073,0.0,0.0
2,LGALS1,73.29057,4.011881,0.0,0.0
2,PSAP,73.20709,3.649683,0.0,0.0
2,S100A12,72.87599,6.052367,0.0,0.0
